asv184_Amphora	N/A	TCC750-18s-1|18S	N/A	99.057	53	5.37e-51	191
asv331_Navicula	N/A	AM501991|18S	N/A	99.500	100	2.99e-103	364
asv331_Navicula	N/A	FR873255|18S	N/A	99.000	100	1.39e-101	359
asv331_Navicula	N/A	FR873254|18S	N/A	98.500	100	6.47e-100	353
asv379_Navicula	N/A	FR873254|18S	N/A	99.000	100	1.39e-101	359
asv379_Navicula	N/A	AM501991|18S	N/A	98.500	100	6.47e-100	353
asv379_Navicula	N/A	FR873255|18S	N/A	98.000	100	3.01e-98	348
asv379_Navicula	N/A	FR873253|18S	N/A	98.010	100	3.01e-98	348
asv379_Navicula	N/A	FN398345|18S	N/A	98.000	100	3.01e-98	348
asv41_Navicula	N/A	HM805043|18S	N/A	100.000	100	6.43e-105	370
asv41_Navicula	N/A	KP400265|18S	N/A	98.500	100	6.47e-100	353
asv41_Navicula	N/A	HM805044|18S	N/A	98.500	100	6.47e-100	353
asv461_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv461_Navicula	N/A	AM501991|18S	N/A	98.000	100	3.01e-98	348
asv50_Navicula	N/A	AM501991|18S	N/A	99.000	100	1.39e-101	359
asv50_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv50_Navicula	N/A	FR873254|18S	N/A	98.000	100	3.01e-98	348
asv50_Navicula	N/A	FN398345|18S	N/A	98.000	100	3.01e-98	348
asv54_Navicula	N/A	AM501991|18S	N/A	99.000	100	1.39e-101	359
asv54_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv54_Navicula	N/A	FR873254|18S	N/A	98.000	100	3.01e-98	348
asv634_Navicula	N/A	JN674064|18S	N/A	99.451	100	2.74e-93	331
asv634_Navicula	N/A	AM501974|18S	N/A	99.451	100	2.74e-93	331
asv67_Navicula	N/A	HM805043|18S	N/A	98.352	100	2.13e-89	318
asv7_Navicula	N/A	FR873254|18S	N/A	99.500	100	2.99e-103	364
asv7_Navicula	N/A	AM501991|18S	N/A	99.500	100	2.99e-103	364
asv7_Navicula	N/A	FR873255|18S	N/A	99.000	100	1.39e-101	359
asv7_Navicula	N/A	FN398345|18S	N/A	98.500	100	6.47e-100	353
asv701_Navicula	N/A	HM805043|18S	N/A	98.901	100	1.27e-91	326
asv702_Navicula	N/A	AM501991|18S	N/A	99.000	100	1.39e-101	359
asv702_Navicula	N/A	FR873255|18S	N/A	98.500	100	6.47e-100	353
asv702_Navicula	N/A	FR873254|18S	N/A	98.000	100	3.01e-98	348
asv702_Navicula	N/A	FR873253|18S	N/A	98.000	100	3.01e-98	348
asv706_Navicula	N/A	FR873253|18S	N/A	98.500	100	6.47e-100	353
asv84_Navicula	N/A	KP400265|18S	N/A	100.000	100	6.43e-105	370
asv84_Navicula	N/A	HM805043|18S	N/A	98.500	100	6.47e-100	353
asv84_Navicula	N/A	HM805044|18S	N/A	98.000	100	3.01e-98	348
asv107_Pleurosigma	N/A	AY485489|18S	N/A	99.451	100	2.74e-93	331
asv107_Pleurosigma	N/A	AY485514|18S	N/A	98.901	100	1.27e-91	326
asv330_Pleurosigma	N/A	AY485489|18S	N/A	100.000	100	5.88e-95	337
asv330_Pleurosigma	N/A	AY485514|18S	N/A	99.451	100	2.74e-93	331
asv510_Pleurosigma	N/A	AY485489|18S	N/A	98.352	100	5.92e-90	320
asv763_Pleurosigma	N/A	AY485489|18S	N/A	98.352	100	5.92e-90	320
